“Waspita Blood Bank Solutions”,A digitally optimized blood bank management platform to enable African hospitals interface in blood product distributio
"1,000 More",It facilitates crowd-funding lobbying efforts so that average Americans have access to that part of our democracy.
1Room,"1Room delivers an individualized high school education through offline tablets in one room, with a single staff member."
2store1,2Store1 addresses the retail real-estate crisis in Lebanon through occupancy matchmaking and playful spatial solutions.
3LEVATE,I will help companies design and implement apprenticeship programs which will allow them to both skill up and diversify.
3Shots,An application for finding a social place that fits you.
7Wells,"Authentic, high-performing and ultra-sustainable apparel made from and for where the desert meets the sea."
A Better Future,ABF Aims to Become the World’s Leading Cross-sector Talents Sharing Platform
A Place in the Sun Foundation,A Place in the Sun Foundation is a non-profit organization founded by former Peace Corps volunteers and Harvard grad students to improve the quality of early childhood education in West ...
A to Z,Friends share information about international travel that is normally fragmented and unreliable on the internet
Abraze Engineering,Abraze creates commodity and specialty metals using a sustainable process.
Abridge News,We get people out of their news echo chambers by making it easy to engage with a wide spectrum of opinions on important stories.
Accelorithm,Accelorithm is an adaptive learning algorithm that optimizes learning capacity and efficiency for students studying in the science and medical fields.
Accure Health,"Accure Health develops and integrates miniaturized biosensor technologies and digital healthcare solutions to enable fast, cost-effective and highly accurate cancer diagnosis in ..."
Ace,"Ace is a branding agency that provides models, social media content, Photoshop editing, and influencer marketing for bra"
Ace Airways,"Ace Airways is a boutique, product-focused airline that transports overseas visitors to Las Vegas and other US leisure destinations, transforming both customers’ expectations and ..."
Ace-up,Ace-up aims to be the go-to marketplace for coaches. Our mission is to help coaches develop their business and help people get better coaching.
ACEA,Healthcare’s Definitive Resource for Continuing Education.
acelab,acelab empowers ACE professionals to make responsible choices through preconstruction intelligence.
ACOSys,"Managing risk is key to managing healthcare costs; effective communication makes it scalable, we aim to do both #ACOsys."
Acrobatics Circus Troupe,We use acrobatics and education as a foundation to fight poverty.
ACT.md,"Accountable Care Transactions, Inc. (ACT.md) promotes efficiency and cost reduction in healthcare by enabling, supporting, and monitoring coordinated teamwork among the cluster of ..."
Actiify,"Creates a platform that creates, organizes, and runs events for people to meet, socialize, and interact."
Active Parenting,We enable parents to carry out high quality interactions with their children through fun and simple activity videos.
